,イベント名,開始時間,終了時間,location_id
0,巨人－ＤｅＮＡ ,2017-07-01 16:00:00,2017-07-01 18:00:00,東京ドーム
1,巨人－ＤｅＮＡ ,2017-07-02 12:00:00,2017-07-02 14:00:00,東京ドーム
2,日本ハム－西武 ,2017-07-03 16:30:00,2017-07-03 18:00:00,東京ドーム
3,日本ハム－西武 ,2017-07-04 16:30:00,2017-07-04 18:00:00,東京ドーム
4,嵐のワクワク学校2017 ～毎日がもっと輝くみんなの保健体育～,2017-07-08 15:00:00,2017-07-08 17:00:00,東京ドーム
5,嵐のワクワク学校2017 ～毎日がもっと輝くみんなの保健体育～,2017-07-09 15:00:00,2017-07-09 17:00:00,東京ドーム
6,巨人－ヤクルト ,2017-07-10 16:00:00,2017-07-10 18:00:00,東京ドーム
7,巨人－ヤクルト ,2017-07-11 16:00:00,2017-07-11 18:00:00,東京ドーム
8,巨人－ヤクルト ,2017-07-12 16:00:00,2017-07-12 18:00:00,東京ドーム
9,第88回 都市対抗野球大会 ,2017-07-14 00:00:00,2017-07-14 00:00:00,東京ドーム
10,第88回 都市対抗野球大会 ,2017-07-15 00:00:00,2017-07-15 00:00:00,東京ドーム
11,第88回 都市対抗野球大会 ,2017-07-16 00:00:00,2017-07-16 00:00:00,東京ドーム
12,第88回 都市対抗野球大会 ,2017-07-17 00:00:00,2017-07-17 00:00:00,東京ドーム
13,第88回 都市対抗野球大会 ,2017-07-18 00:00:00,2017-07-18 00:00:00,東京ドーム
14,第88回 都市対抗野球大会 ,2017-07-19 00:00:00,2017-07-19 00:00:00,東京ドーム
15,第88回 都市対抗野球大会 ,2017-07-20 00:00:00,2017-07-20 00:00:00,東京ドーム
16,第88回 都市対抗野球大会 ,2017-07-21 00:00:00,2017-07-21 00:00:00,東京ドーム
17,第88回 都市対抗野球大会 ,2017-07-22 00:00:00,2017-07-22 00:00:00,東京ドーム
18,第88回 都市対抗野球大会 ,2017-07-23 00:00:00,2017-07-23 00:00:00,東京ドーム
19,第88回 都市対抗野球大会 ,2017-07-24 00:00:00,2017-07-24 00:00:00,東京ドーム
20,第88回 都市対抗野球大会 ,2017-07-25 00:00:00,2017-07-25 00:00:00,東京ドーム
21,SMTOWN LIVE WORLD TOUR VI IN JAPAN ,2017-07-27 15:00:00,2017-07-27 17:00:00,東京ドーム
22,SMTOWN LIVE WORLD TOUR VI IN JAPAN ,2017-07-28 15:00:00,2017-07-28 17:00:00,東京ドーム
23,巨人－ＤｅＮＡ ,2017-07-29 16:00:00,2017-07-29 18:00:00,東京ドーム
24,巨人－ＤｅＮＡ ,2017-07-30 12:00:00,2017-07-30 14:00:00,東京ドーム
25,ソフトバンク－日本ハム ,2017-07-31 16:00:00,2017-07-31 18:00:00,東京ドーム
